Nº;CANTON:;NOMBRE DEL LOCAL:;DIRECCIÓN:;A1;A2;B3;B4;C5;C6;C7;C8;C9;D10;D11;E12;E13;E14;E15;F161;F17;F18;G19;G20;G21;H22;H23;H24;I25;I26;I27;I281;J291;J30;K31
159;ROCAFUERTE;COMERCIO DE GANADO ZAMBRANO ;La California;1,64;1,6;2,2;1,4;2;2;3,57;3,5;2;3,33;3,14;5;2;3;2;50 HORAS;1,71;2,8;1;1,64;5;2,17;3,67;1;1,17;2,4;2,17;2;1600;1;4
160;ROCAFUERTE;TALLER DE ELECTRÓNICA ANCHUNDIA;Buenos Aires;1,36;1,4;2,8;1;1,91;1,14;3,14;3,5;2;3,33;4;4,25;2,57;3,67;2,25;48 HORAS;1,57;3;1;1,82;5;1,5;3,67;1;1,5;2,2;2,5;2;1500;2;4
161;ROCAFUERTE;VENTA DE ARROZ JESUS ;Ceibal;1,73;1,2;2,8;1;1,91;2;3,14;3,5;2;3,33;2,71;5;2,43;3,67;2,13;48 HORAS;1,57;3,2;1,17;1,82;5;2,33;3,67;1;1;2;2,17;2;800;1,17;4
162;ROCAFUERTE;VENTA DE ARROZ PALACIO;La California;1,18;1,6;2,4;1;1,73;1,43;3,14;3,5;2;3,33;4;5;2,57;3,67;1,75;48 HORAS;1,71;3;1;2;5;2;3,67;1,33;1;2,4;2,5;1;1000;2;4
163;PORTOVIEJO;CLUB DE NUTRICION HERBALIFE;Parroquia Calderón;1;1;2,8;1,4;1,18;1,86;3,86;5;5;3,67;5;5;2,43;2,5;1,63;48 HORAS;1,86;2,6;1;1,82;5;1,5;3,67;1,33;1,17;1;2;1;700;1,42;4,61
164;PORTOVIEJO;CHOCO GUINEO EMPASTADO;Cordova y Olmedo;1,82;1,6;3,2;1;1,27;1,57;3,71;5;5;4,11;5;5;3;2,67;1,63;50 HORAS;1,43;3;1;2;5;1,5;4;1,33;1;1,2;2,5;2;800;2;4,61
165;PORTOVIEJO;LÁPIDAS CUENCA;Rocafuerte entre Pedro Gual y 10 de Agosto;1,36;2;1,6;1,2;2;1,57;4;5;5;4,56;2;4,38;2,14;2;2;50 HORAS;1,57;3,4;1,83;2;5;1,83;3,67;1;1;1;1,67;2;1100;1,67;4,83
166;PORTOVIEJO;JOAOCELL ;Av Rocafuerte y Pedro Gual;1,55;1,2;2;1,2;1,09;0,14;3,14;5;5;3,33;5;5;2,43;2;2;48 HORAS;1,71;2,6;1;1,73;5;1,67;3,67;1,33;1;1,2;2,33;2;1200;1;4,56
167;PORTOVIEJO;HL FRÍO ;Rocafuerte entre Pedro Gual y 10 de Agosto;1,27;1;2,8;1,2;1,18;1,57;4;5;5;4,11;1,57;5;2,57;1,83;1,63;55 HORAS;1,57;3,4;1;2,18;5;1;3,67;1,67;1;1;1,17;2;600;1,25;3,89
168;PORTOVIEJO;FARMACIA BOLÍVAR;Parroquia Calderón;2,09;1,2;1,2;1;1,73;0,14;3,29;5;5;3,67;5;5;1,57;1,5;1,75;48 HORAS;1,29;3,4;1,33;1,91;5;1,83;3,67;1;1,33;1,4;2,17;2;1200;1,58;5
169;ROCAFUERTE;VENTA DE ARROZ MORA;Puerto Loor ;1,73;1,4;1,6;1,4;1,91;1,86;3,86;5;5;4,11;5;5;2,43;4,17;2,13;48 HORAS;1,71;3,2;1;2,18;5;1,67;5;1;1;2;2,5;2;1000;2,08;4,61
170;SUCRE;TIENDA ZAMBRANO;San Clemente;1,55;1,4;3;2,2;1,36;1,57;3,86;5;5;3,78;5;4,5;1,57;2,17;1,38;50 HORAS;1,29;2,8;1;3,64;5;1,33;5;1,33;2;2,2;2,17;2;1100;1,25;4,78
171;PORTOVIEJO;CONSULTORIO ODONTOLÓGICO GEMA ROMERO;Parroquia Calderón;1,27;1,2;1,8;1;1,91;2;3,71;5;5;3,33;5;4,25;2,43;3,67;2;48 HORAS;1,43;2,8;1;1,64;5;1,5;5;1;1;1,2;1,67;2;1000;1,58;4,67
172;PORTOVIEJO;"COMERCIAL ""PAEZ AYALA""";15de Abril y Venezuela (Terminal);1,64;1;2,2;1,2;1,73;0,14;2,71;3,5;2;3,33;4;5;2,14;3,33;1,88;48 HORAS;1,71;3;1;1,91;5;2,17;3,67;1;1;2,2;2,17;2;1100;2;4
173;PORTOVIEJO;CALZADOS GUILLEN;Parroquia Abdon Calderon;1,27;1,2;2,8;1;0,09;0,14;3,14;3,5;2;3,33;4;5;2;3,67;1,88;55 HORAS;2,14;3,4;1;1,82;5;2,17;3,67;1;1,33;2,2;2,17;2;800;2;4
174;PORTOVIEJO;CALZADOS DE NIURKA;Parroquia Abdon Calderon;1,27;1,6;2,4;1,6;0,09;0,14;3,14;3;2;3,33;4;5;2,29;3,67;1,88;54 HORAS;1,57;3,2;1;1,64;5;2,17;3,67;1;1,33;2,2;2,17;2;600;2;4
175;PORTOVIEJO;EL TALBATELERO DANNA ;Parroquia Calderón;1,36;1,6;2,2;1,6;1,18;1,57;3,14;3,5;2;3,33;4;4;2,29;3,67;2,25;56 HORAS;1,71;3,4;1,17;1,45;5;2,5;3,67;1;1,17;2,4;1,67;3;600;2;3,94
176;PORTOVIEJO;EL COLORADO ;Parroquia Abdon Calderon;1,18;1,2;1,6;1,6;2;0,14;3,14;3,5;2;3;4;5;2,14;3,67;1,75;56 HORAS;2;3;1,67;2;5;1,5;3,67;1;1;1;2,5;1;600;1,92;4
177;PORTOVIEJO;BAZAR FRANJARI;Parroquia Abdon Calderon;1,45;1,8;2,2;1,4;0,09;0,14;2,71;3,5;1;3,33;4;5;2,14;3,5;2;56 HORAS;2,14;3;1,5;1,82;5;2,17;4;1;1,17;2,2;1,83;2;800;1,92;3,89
178;PORTOVIEJO;RESTAURANTE LISMAR;Parroquia Abdon Calderon;1,27;1,4;2,4;1,6;2;2;2,71;3,5;2;3,33;3,14;4,63;1,86;3,33;1,75;54 HORAS;1,71;2,8;1,17;1,82;5;1,5;4;1,33;1,17;2,2;2;2;500;1,75;4
179;PORTOVIEJO;EXCLUSIVIDADES MARILYN;Parroquia Abdon Calderon;1,27;1,8;2,2;1;2;0,14;2,71;3,5;2;3,33;4;5;2,29;3,67;1,88;56 HORAS;1,71;3,6;1,83;1,64;5;2,17;4;1;1,33;2,2;2;2;200;1,83;4
180;PORTOVIEJO;SERVICIO TÉCNICO CAR-CELL;Parroquia Calderón;1,55;1,6;1,8;1;0,09;2;3,14;3,5;2;3,33;4;5;2,57;3,67;1,88;40 HORAS;1,71;3,4;1;1,82;5;1,83;3,67;1;1,33;2,2;2,5;2;500;2;4
181;PORTOVIEJO;TODO EN PAPELERÍA;Calle Constantino Mendoza y Chile;1,73;1;2,8;1;2;0,14;3,14;3,5;2;3,33;4;5;2,71;3,5;1,88;53 HORAS;1,71;3,4;2,17;1,82;5;2,17;3,67;1;1;2,2;2;2;2200;2;3,94
182;PORTOVIEJO;"IMPRENTA Y GRÁFICAS ""ERIKA""";Callejón 5 de junio ;1,73;2;2,2;1,6;1,45;0,14;3,57;3,5;2;3,33;3,14;5;2,14;3,67;2;54 HORAS;1,57;3,6;1;1,82;5;2;3,67;1;1,33;2;2;2;800;2;4
183;PORTOVIEJO;CENTRO ÓPTICO INTRIAGO;Ramos Iduarte y Olmedo;1,73;1;2,8;1;1,73;1,57;3,57;3,5;2;3,33;4;5;2,57;2,83;1,88;48 HORAS;1,57;3,2;1;1,45;5;1,5;3,33;1;1;2,4;2;2;2500;1,83;4
184;PORTOVIEJO;"IMPRENTA ""SAMARI""";Calle América y Av Del ejército;1,91;1,8;1,8;2;1,18;2;3,14;3,5;2;3,33;4;5;2,14;2,83;1,75;53 HORAS;1,71;3,2;1,17;1,64;5;2,17;4;1;1,17;2,2;2;2;1300;1,92;4
185;PORTOVIEJO;DISTRIBUIDORA VELMACI;Av 5 de junio ;1,73;1;2,4;1,6;0,09;0,14;2,71;3,5;2;3;4;5;2;3,67;1,75;52 HORAS;1,71;3,2;1;1,45;5;2,33;3,67;1;1;2,2;2;2;1500;2;4
186;PORTOVIEJO;PAPELERÍA MERCY;Av del ejército y Manta;1,82;1;2,2;1;0,09;0,14;3,14;3,5;2;3,33;4;5;2,29;3,17;1,75;53 HORAS;1,86;3,2;1;1,55;5;2,17;3,67;1;1,5;2,6;2;2;600;1,92;4
187;PORTOVIEJO;MUNDO DEL LIBRO MENDOZA;Av del ejército y novena transversal;1,27;1,2;2,2;1;1,73;0,14;3,14;3,5;2;3,33;4;5;2,43;3,67;1,63;53 HORAS;1,57;3,6;1;1,64;5;2,17;3,67;1;1,17;2;2,5;2;700;2;4
188;PORTOVIEJO;ALMACÉN CENTRO AGROVETERINARIO ;Alajuela y Ricaurte;1,36;1,6;2,8;1,6;1,73;0,14;3,14;3,5;2;3;4;5;2,57;3,67;1,88;53 HORAS;1,57;3,6;1;1,45;5;1,5;3,67;1;1;2,4;2;2;800;2;4
189;PORTOVIEJO;FERRETERÍA LOOR;Av Universitaria y Rotonda;1,91;1;2,8;1;1,18;1,57;3,14;3,5;2;3,33;4;5;2,29;3,17;1,88;52 HORAS;1,57;3,2;1;1,64;5;2,17;3,67;1;1;2,2;2;2;1700;2;4
190;PORTOVIEJO;D' LENS (DISTRIBUIDOR ÓPTICO);Av Bolivariana y México;1,64;1,6;2,2;1,6;2;0,14;3,14;3,5;2;3,33;4;5;2,14;3,17;1,88;48 HORAS;1,71;3,8;1,33;1,64;5;1,5;3,67;1;1,17;2,4;2,17;2;1500;1,92;4
191;PORTOVIEJO;EXCLUSIVIDADES AMBAR;Manabí y Alajuela y Quito;1,91;1;2,2;1;0,09;0,14;3,14;3,5;1;3,33;4;5;2,43;3,67;1,88;48 HORAS;1,71;3,6;1;1,45;5;2,17;3,67;1;1;2;2;2;800;1,92;4
192;PORTOVIEJO;SU FARMACIA;Av Universitaria y Educadores;1,36;1,2;2,2;1;1,18;1,43;3,57;3,5;2;3,33;4;5;2,43;3,67;2,13;53 HORAS;1,71;3,2;1;1,45;5;1,83;3,67;1;1;2,2;2,17;2;1000;1,83;4
193;PORTOVIEJO;CRABIS HOUSE;Santos y Av Reales Tamarindos;1,73;1,6;2,2;1;1,73;0,14;3,14;3,5;2;3,33;3,57;4,63;2;3;1,75;53 HORAS;1,71;2,8;1,17;1,82;5;1,5;3,67;1;1,17;2,4;1,83;2;1100;1,58;4
194;PORTOVIEJO;PARRILLADA NIÑO ACOSTA ;Vía Crucita;1,73;1,6;3;1,6;1,73;0,14;3,14;3,5;2;3;4;5;1,71;3;1,88;48 HORAS;1,71;3,2;1;1,45;5;1,83;3,67;1,33;1,17;2,4;2;2;1500;1,58;4
195;PORTOVIEJO;SALCHICHERIA CASA DON RIGO;Parroquia Abdon Calderon;1,64;1;2,4;1;1,18;1,71;3,14;3,5;2;3,33;4;5;2;3,67;1,75;52 HORAS;2,14;3;1,5;1,73;5;2;3,67;1;1,33;2,4;2,17;2;1100;2;4
196;PORTOVIEJO;DON KLEPER;Calle Chile y Alajuela;1,55;1,2;2,8;1,6;1,73;0,14;3,14;3,5;2;3,33;4;5;2,43;3,67;1,75;48 HORAS;1,71;3,4;1,17;1,82;5;2,17;3,67;1;1,33;2,4;2,17;2;800;2;4
197;PORTOVIEJO;FERRETERIA MISTER JOTITA;Parroquia Abdon Calderon;1,45;1;2,2;1;1,18;2;3,14;3,5;2;3,33;4;5;2,29;3,67;2;48 HORAS;1,71;3,4;1;1,45;5;2,17;3,67;1;1,17;2;2;2;2000;2;4
198;PORTOVIEJO;CELULARES PAEZ;Calle Venezuela y Av del ejército (Terminal Terrestre);1,73;1,2;2,2;1;1,73;0,14;3,14;3,5;2;3,33;4;5;2,71;3,5;1,63;53 HORAS;1,57;3;1;1,82;5;2,17;3,67;1;1;2,6;2;2;2500;1,92;4
199;PORTOVIEJO;FERRETERÍA LA PALA;Alajuela y García Moreno;1,91;1,6;2,8;1,6;1,45;1,71;2,71;3,5;2;3,67;4;5;2,14;3,33;1,75;52 HORAS;1,71;3,6;1;1,64;5;2,5;3,67;1;1;2;2;2;2300;1,58;4
200;PORTOVIEJO;PIZZA ITALISIMA;5 de Junio y Callejón Robles;1,82;1,6;2,8;1,6;1,45;1,57;3,14;3,5;2;3;4;4,63;1,86;3,67;1,75;53 HORAS;1,71;3,4;1,67;1,64;5;1,67;3,67;1;1,17;2,2;2;2;1000;2;4
