Nº;CANTON:;NOMBRE DEL LOCAL:;DIRECCIÓN:;A1;A2;B3;B4;C5;C6;C7;C8;C9;D10;D11;E12;E13;E14;E15;F161;F17;F18;G19;G20;G21;H22;H23;H24;I25;I26;I27;I281;J291;J30;K31
93;ROCAFUERTE;PRODUCTOS LACTEOS MACIAS;Calle Atanacio Santos;1,64;1;2,6;1,6;1,73;1,57;3,57;3,5;2;3,33;3,14;5;2,71;3,67;1,75;48 HORAS;1,71;3,2;1;2,27;5;2,17;4;1,33;1,33;2,2;2,17;2;1200;2;3,94
94;SUCRE;VENTA DE MAIZ OLMEDO;Cañitas - Charapoto;1,55;1;2,4;1,6;1,36;1,43;3,57;3,5;2;3,33;4;5;2,57;3,67;2;48 HORAS;1,71;3,4;1,33;1,82;5;2,17;3,67;1;1,17;2,2;2,33;2;1000;1,75;3,94
95;ROCAFUERTE;TERCENA JAVIER;Puerto Loor;1,55;1,6;2,8;1,6;2,27;2,14;3,57;3,5;2;3,33;2,71;5;2;3,67;1,88;48 HORAS;1,71;3,4;1;1,91;5;1,67;3,67;1,33;1;1,8;2,17;2;1000;1,92;3,94
96;ROCAFUERTE;VENTA DE COCO MARIA;Valdez;1,55;1;2,8;1;1,18;1,43;3,14;3,5;2;3,33;2,71;5;2,57;3,67;1,88;48 HORAS;1,71;3,4;1;1,82;5;1,83;3,67;1;1,17;2,2;2,33;2;1000;1,08;4
97;ROCAFUERTE;LOS ENCEBOLLADOS DE LA TÍA YANET;Calle Manuel J y Pichincha;2;1;2,8;1,4;2,27;1,57;2,71;4,33;1;4,11;5;4,75;2,86;3,33;2;50 HORAS;1,43;2,6;1,83;1,91;5;2,17;3,67;1;2;2,4;2;2;1000;1,92;4,94
98;PORTOVIEJO;PANADERÍA LATIN PAN;Parroquia Abdon Calderon;1,36;1,4;2,4;1,2;1,91;1,71;3,71;5;5;4,11;5;4,25;2;1;1,5;52 HORAS;1,29;2;1;1,73;5;1,33;3,67;1,33;5;1,6;2,33;2;800;1,42;4,44
99;ROCAFUERTE;VENTRA DE LEGUMBRES ZAMBRANO;Calle Pichincha;2;1;2,2;1,8;1,18;1,57;4;3,67;2;4,56;4,43;5;2,86;3,83;2,13;46 HORAS;1,71;3;2;2,36;5;2,17;3,67;1;1,17;2,4;2,67;1;800;2;4,94
100;SUCRE;CONFECCION DE ROPA BERMUDEZ;Charapoto - Eloy Alfaro (Cañitas);1,64;1,6;2,2;1;1,64;1,14;3,57;3,5;2;3,33;4;5;2,29;3,67;1,88;48 HORAS;1,71;2,8;1,33;2;5;2,17;3,67;1,33;1,67;2,2;1,83;2;800;2;3,83
101;ROCAFUERTE;ARTESANIAS EN TAGUA COVEÑA;Sosote de Rocafuerte;1,73;1,4;2,6;1,6;1,18;1,86;4,43;4,33;2;4,56;3,86;4,25;2,14;3;2,25;44 HORAS;1,43;3,4;1;2,09;4,833333333;1,83;3,67;1;1,33;2,4;2,17;3;1500;1,58;4,67
102;PORTOVIEJO;PICANTERÍA JZ;Crucita - Av Principal;2;1,4;2,2;1,8;1,09;1,43;3,14;3,5;2;3,33;4;4,63;2,43;3,33;1,88;52 HORAS;1,71;2,8;1;1,55;5;2,17;3,67;1,33;1,17;2,6;1,67;2;1400;1,67;4
